Time,Temperature,Humidity,Moisture,MoistureClass,LightValue,Lights,PiTemperature,Height,SonicDistance,Image,WaterGiven
Thu Jan 24 10:20:25 2019,27.0,25.0,528,Moist,769,True,45.6,,,,0.0
Thu Jan 24 10:30:26 2019,28.0,25.0,530,Moist,769,True,46.2,,,,0.0
Thu Jan 24 10:40:26 2019,28.0,24.0,532,Moist,770,True,46.2,,,,0.0
Thu Jan 24 10:50:27 2019,28.0,23.0,531,Moist,769,True,46.2,,,,0.0
Thu Jan 24 11:00:27 2019,29.0,23.0,534,Moist,771,True,47.2,,,,0.0
Thu Jan 24 11:10:27 2019,29.0,23.0,532,Moist,770,True,46.7,,,,0.0
Thu Jan 24 11:20:28 2019,29.0,22.0,533,Moist,769,True,46.2,,,,0.0
Thu Jan 24 11:30:28 2019,28.0,23.0,529,Moist,768,True,46.2,,,,0.0
Thu Jan 24 11:40:29 2019,27.0,24.0,542,Moist,769,True,46.7,,,,0.0
Thu Jan 24 11:50:29 2019,28.0,24.0,546,Moist,768,True,47.2,,,,0.0
Thu Jan 24 12:00:30 2019,28.0,23.0,546,Moist,768,True,45.6,,,,0.0
Thu Jan 24 12:10:30 2019,27.0,22.0,547,Moist,768,True,46.2,,,,0.0
Thu Jan 24 12:20:30 2019,27.0,24.0,547,Moist,768,True,45.6,,,,0.0
Thu Jan 24 12:30:31 2019,27.0,24.0,548,Moist,767,True,46.2,,,,0.0
Thu Jan 24 12:40:31 2019,27.0,24.0,537,Moist,767,True,45.1,,,,0.0
Thu Jan 24 12:50:32 2019,27.0,23.0,529,Moist,768,True,45.1,,,,0.0
Thu Jan 24 13:00:32 2019,24.0,29.0,530,Moist,765,True,46.2,,,,0.0
Thu Jan 24 13:10:33 2019,25.0,29.0,515,Moist,769,True,46.2,,,,0.0
Thu Jan 24 13:20:33 2019,27.0,23.0,511,Moist,768,True,46.7,,,,0.0
Thu Jan 24 13:31:03 2019,27.0,24.0,505,Moist,766,True,47.8,11.0,50.0,,0.0
Thu Jan 24 13:41:03 2019,27.0,22.0,498,Moist,768,True,46.2,11.0,50.0,,0.0
Thu Jan 24 13:51:04 2019,28.0,23.0,491,Moist,765,True,45.1,11.0,50.0,,0.0
Thu Jan 24 14:01:04 2019,26.0,25.0,489,Moist,764,True,44.0,11.0,50.0,,0.0
Thu Jan 24 14:11:05 2019,24.0,33.0,486,Moist,763,True,44.5,7.0,54.0,,0.0
Thu Jan 24 14:21:06 2019,23.0,38.0,482,Moist,764,True,43.5,11.0,50.0,,0.0
Thu Jan 24 14:31:06 2019,22.0,37.0,480,Moist,763,True,44.0,7.0,54.0,,0.0
Thu Jan 24 14:41:07 2019,21.0,39.0,479,Moist,761,True,42.9,10.0,51.0,,0.0
Thu Jan 24 14:51:07 2019,21.0,41.0,473,Moist,762,True,42.4,10.0,51.0,,0.0
Thu Jan 24 15:01:07 2019,20.0,44.0,468,Moist,760,True,41.9,7.0,54.0,,0.0
Thu Jan 24 15:11:08 2019,19.0,49.0,466,Moist,760,True,44.0,7.0,54.0,,0.0
Thu Jan 24 15:21:08 2019,19.0,49.0,468,Moist,760,True,41.9,7.0,54.0,,0.0
Thu Jan 24 15:31:09 2019,18.0,45.0,462,Moist,760,True,40.8,7.0,54.0,,0.0
Thu Jan 24 15:41:09 2019,17.0,48.0,461,Moist,760,True,40.8,6.0,55.0,,0.0
Thu Jan 24 15:51:10 2019,16.0,52.0,460,Moist,760,True,40.8,6.0,55.0,,0.0
Thu Jan 24 16:01:10 2019,15.0,51.0,455,Moist,758,True,39.7,6.0,55.0,,0.0
Thu Jan 24 16:11:11 2019,15.0,52.0,455,Moist,760,True,39.7,5.0,56.0,,0.0
Thu Jan 24 16:21:11 2019,15.0,55.0,464,Moist,659,True,39.7,6.0,55.0,,0.0
Thu Jan 24 16:31:12 2019,15.0,56.0,463,Moist,668,True,39.7,5.0,56.0,,0.0
Thu Jan 24 16:41:12 2019,15.0,53.0,459,Moist,760,True,39.2,6.0,55.0,,0.0
Thu Jan 24 16:51:13 2019,15.0,52.0,455,Moist,761,True,40.2,6.0,55.0,,0.0
Thu Jan 24 17:01:13 2019,15.0,54.0,450,Moist,625,True,40.8,6.0,55.0,,0.0
Thu Jan 24 17:11:14 2019,16.0,50.0,448,Moist,461,True,40.8,6.0,55.0,,0.0
Thu Jan 24 17:21:14 2019,16.0,48.0,448,Moist,271,True,40.8,6.0,55.0,,0.0
Thu Jan 24 17:31:15 2019,16.0,50.0,444,Moist,87,True,39.7,6.0,55.0,,0.0
Thu Jan 24 17:41:15 2019,16.0,53.0,440,Moist,11,True,39.7,6.0,55.0,,0.0
Thu Jan 24 17:51:16 2019,16.0,54.0,437,Moist,1,False,39.7,6.0,55.0,,0.0
Thu Jan 24 18:01:16 2019,15.0,56.0,437,Moist,0,False,39.2,5.0,56.0,,0.0
Thu Jan 24 18:12:35 2019,15.0,57.0,435,Moist,0,False,39.7,6.0,55.0,,0.0
Thu Jan 24 18:22:36 2019,15.0,57.0,430,Moist,0,False,39.7,6.0,55.0,,0.0
Thu Jan 24 18:32:36 2019,15.0,58.0,429,Moist,0,False,38.6,6.0,55.0,,0.0
Thu Jan 24 18:42:36 2019,14.0,60.0,427,Moist,0,False,38.6,6.0,55.0,,0.0
Thu Jan 24 18:52:36 2019,14.0,60.0,428,Moist,255,True,39.2,5.0,56.0,,0.0
Thu Jan 24 19:02:37 2019,14.0,68.0,425,Moist,0,False,39.2,5.0,56.0,,0.0
Thu Jan 24 19:12:37 2019,15.0,71.0,421,Moist,0,False,38.6,6.0,55.0,,0.0
Thu Jan 24 19:22:37 2019,14.0,69.0,414,Moist,0,False,38.6,6.0,55.0,,0.0
Thu Jan 24 19:32:38 2019,14.0,68.0,414,Moist,0,False,38.1,6.0,55.0,,0.0
Thu Jan 24 19:42:38 2019,14.0,67.0,417,Moist,0,False,38.6,6.0,55.0,,0.0
Thu Jan 24 19:52:38 2019,14.0,66.0,409,Moist,0,False,37.6,6.0,55.0,,0.0
Thu Jan 24 20:02:38 2019,14.0,65.0,404,Moist,0,False,37.6,6.0,55.0,,0.0
Thu Jan 24 20:12:38 2019,14.0,65.0,401,Moist,0,False,37.6,6.0,55.0,,0.0
Thu Jan 24 20:22:39 2019,14.0,64.0,393,Moist,0,False,37.6,10.0,51.0,,0.0
Thu Jan 24 20:32:39 2019,14.0,64.0,391,Moist,0,False,37.6,10.0,51.0,,0.0
Thu Jan 24 20:42:39 2019,14.0,64.0,397,Moist,0,False,37.6,10.0,51.0,,0.0
Thu Jan 24 20:52:39 2019,14.0,65.0,396,Moist,0,False,37.6,10.0,51.0,,0.0
Thu Jan 24 21:02:40 2019,14.0,65.0,392,Moist,0,False,37.0,10.0,51.0,,0.0
Thu Jan 24 21:12:40 2019,14.0,65.0,392,Moist,0,False,38.1,10.0,51.0,,0.0
Thu Jan 24 21:22:40 2019,14.0,65.0,393,Moist,0,False,37.6,10.0,51.0,,0.0
Thu Jan 24 21:32:40 2019,14.0,65.0,388,Moist,0,False,37.6,10.0,51.0,,0.0
Thu Jan 24 21:42:40 2019,14.0,64.0,388,Moist,0,False,37.6,10.0,51.0,,0.0
Thu Jan 24 21:52:40 2019,14.0,64.0,390,Moist,0,False,38.6,10.0,51.0,,0.0
